,City,Cloudiness,Country,Date,Lat,Lng,Temp,Windspeed,Humidity,Max_temp
121,Şile,90,TR,1586991251,41.18,29.61,46.98,8.05,93,50.0
122,Nabire,100,ID,1586990892,-3.37,135.48,77.79,2.57,85,77.79
123,Vao,64,NC,1586990898,-22.67,167.48,74.57,15.95,74,74.57
124,Borazjan,99,IR,1586991363,29.27,51.22,65.79,4.85,58,65.79
125,Kavieng,100,PG,1586991363,-2.57,150.8,82.99,3.53,69,82.99
126,Ulagan,69,RU,1586991363,50.63,87.96,33.87,5.68,52,33.87
127,Clyde River,75,CA,1586991363,70.47,-68.59,6.8,19.46,84,6.8
128,Faanui,50,PF,1586991364,-16.48,-151.75,83.52,8.77,66,83.52
129,Ostrovnoy,100,RU,1586991364,68.05,39.51,34.38,5.66,95,34.38
130,Hobyo,53,SO,1586991364,5.35,48.53,83.61,9.91,78,83.61
131,Hermanus,30,ZA,1586991364,-34.42,19.23,60.01,1.99,75,60.01
132,Longyearbyen,40,SJ,1586990869,78.22,15.64,33.8,27.51,74,33.8
133,Nelson Bay,77,AU,1586991364,-32.72,152.15,71.06,20.8,72,75.0
134,Marsá Maţrūḩ,23,EG,1586991562,31.35,27.25,62.6,5.82,42,62.6
135,Makkah al Mukarramah,0,SA,1586991563,21.43,39.83,63.25,4.05,55,63.25
136,Leningradskiy,100,RU,1586991563,69.38,178.42,19.11,2.95,95,19.11
137,Rancho Palos Verdes,5,US,1586991340,33.74,-118.39,76.68,12.75,29,82.4
138,Pisco,0,PE,1586991810,-13.7,-76.22,71.78,17.22,30,72.0
139,Stykkisholmur,62,IS,1586991811,65.08,-22.73,33.37,4.45,91,33.37
140,Am Timan,3,TD,1586991811,11.03,20.28,79.52,4.5,14,79.52
141,Malakwal,67,PK,1586991811,32.55,73.21,72.45,5.03,50,72.45
142,Nhulunbuy,93,AU,1586991811,-12.23,136.77,80.6,4.7,83,80.6
143,Bairiki Village,75,KI,1586991811,1.33,172.98,86.0,11.41,79,86.0
144,Hasaki,75,JP,1586991811,35.73,140.83,51.31,18.34,71,52.0
145,East London,20,ZA,1586991811,-33.02,27.91,63.73,10.67,76,63.73
146,Ganzhou,0,CN,1586991812,28.82,115.43,68.22,5.06,63,68.22
147,Tezu,20,IN,1586991812,27.92,96.17,74.82,2.86,38,74.82
148,Miran Shah,99,PK,1586991817,33.01,70.07,64.49,8.93,24,64.49
149,Nkhata Bay,25,MW,1586991817,-11.61,34.29,75.4,1.77,66,75.4
150,Nipawin,1,CA,1586991817,53.37,-104.0,33.8,10.29,31,33.8
151,Saint-Philippe,40,RE,1586991817,-21.36,55.77,66.27,6.93,73,75.2
152,Hearst,100,CA,1586991817,49.68,-83.67,23.45,4.94,95,23.45
153,Kyrksæterøra,75,NO,1586991818,63.29,9.09,36.18,28.86,86,37.4
154,Mattru,92,SL,1586991818,7.62,-11.83,78.64,1.63,88,78.64
155,Port Elizabeth,82,ZA,1586991626,-33.92,25.57,55.4,2.24,93,55.4
156,Margate,31,GB,1586991818,51.38,1.39,46.24,12.75,93,50.0
157,Øksfjord,89,NO,1586991818,70.24,22.35,35.31,20.8,74,35.6
158,Āsbe Teferī,75,ET,1586991950,9.08,40.87,61.68,0.76,52,61.68
159,Baraúna,44,BR,1586991950,-5.08,-37.62,75.29,3.8,88,75.29
160,Tiarei,15,PF,1586991950,-17.53,-149.33,89.6,9.17,66,89.6
161,Vestmannaeyjar,82,IS,1586991950,63.44,-20.27,39.29,11.05,74,39.29
162,Wanaka,32,NZ,1586991950,-44.7,169.15,52.16,6.24,51,52.16
163,Neiafu,75,TO,1586991951,-18.65,-173.98,80.6,8.05,88,80.6
164,Cayenne,0,GF,1586991951,4.93,-52.33,78.8,5.68,78,78.8
165,Hatton,81,LK,1586991951,6.89,80.6,61.79,2.08,74,61.79
166,Puerto Carreño,20,CO,1586991951,6.19,-67.49,96.8,9.17,30,96.8
167,Tilichiki,26,RU,1586991951,60.47,166.1,21.74,5.57,95,21.74
168,Vardø,99,NO,1586991901,70.37,31.11,34.7,13.29,87,34.7
169,Inverness,86,GB,1586992062,57.48,-4.22,49.91,6.93,87,52.0
170,Porto-Novo,12,BJ,1586991786,6.5,2.6,82.92,8.99,80,82.92
171,Thanh Hoa,100,VN,1586992062,19.8,105.77,73.08,1.97,88,73.08
172,Araouane,13,ML,1586992062,18.9,-3.53,72.55,2.89,55,72.55
173,Salekhard,100,RU,1586992062,66.53,66.6,17.08,13.91,94,17.08
174,Mon,86,IN,1586992062,26.75,95.1,68.68,1.41,59,68.68
175,Yumen,88,CN,1586991917,40.28,97.2,51.12,17.45,24,51.12
176,George Town,40,MY,1586991910,5.41,100.34,78.4,2.24,94,78.8
177,Vaitape,52,PF,1586992063,-16.52,-151.75,84.36,8.84,66,84.36
178,Yerbogachën,100,RU,1586992066,61.28,108.01,34.05,7.7,82,34.05
179,Cidreira,59,BR,1586992066,-30.18,-50.21,66.99,20.49,56,66.99
180,Hokitika,67,NZ,1586992067,-42.72,170.97,55.45,10.94,72,55.45
181,Ketchikan,1,US,1586992067,55.34,-131.65,50.38,20.8,76,51.8
182,Hegang,0,CN,1586992067,47.4,130.37,49.53,6.91,41,49.53
183,Katsuura,75,JP,1586991974,35.13,140.3,53.13,16.11,81,55.99
184,Kerema,94,PG,1586992067,-7.96,145.78,81.61,8.72,78,81.61
185,Kamaishi,20,JP,1586992067,39.27,141.88,44.6,16.11,59,44.6
186,Rocha,73,UY,1586992067,-34.48,-54.33,61.05,16.06,80,61.05
187,Tondano,20,ID,1586992067,1.3,124.91,73.4,1.12,94,73.4
188,Praia da Vitória,40,PT,1586992166,38.73,-27.07,55.4,18.81,82,55.4
189,Umm Kaddadah,0,SD,1586992166,13.6,26.69,67.66,13.42,15,67.66
190,Kununurra,100,AU,1586992028,-15.77,128.73,73.4,3.22,83,73.4
191,Zhangye,80,CN,1586992167,38.93,100.45,52.97,3.15,23,52.97
192,Jiaojiang,1,CN,1586991906,28.68,121.44,56.52,5.97,63,59.0
193,Avarua,85,CK,1586992167,-21.21,-159.78,80.6,10.29,65,80.6
194,Katobu,99,ID,1586992167,-4.94,122.53,75.85,3.58,92,75.85
195,Lagoa,3,PT,1586991945,39.05,-27.98,56.44,20.54,70,56.44
196,Garissa,59,KE,1586991963,-0.45,39.64,80.83,11.52,71,80.83
197,Santa Maria,0,BR,1586992200,-29.68,-53.81,53.94,4.25,54,53.94
198,Esperance,90,AU,1586991917,-33.87,121.9,57.2,6.93,87,57.2
199,Butaritari,93,KI,1586991920,3.07,172.79,83.34,17.83,79,83.34
200,Tsimmerbude,23,RU,1586992200,54.67,20.13,46.4,24.61,75,46.4
201,Soyo,100,AO,1586992200,-6.13,12.37,80.42,8.66,85,80.42
202,Abu Kamal,50,SY,1586992144,34.45,40.92,68.58,5.82,25,68.58
203,Vostok,0,RU,1586991956,46.49,135.88,43.18,4.0,42,43.18
204,Te Anau,44,NZ,1586992315,-45.42,167.72,52.36,8.41,57,52.36
205,Lavrentiya,37,RU,1586992315,65.58,-171.0,29.86,5.06,94,29.86
206,Malinovskiy,25,RU,1586992316,61.2,62.84,33.87,8.32,88,33.87
207,Yeppoon,15,AU,1586992316,-23.13,150.73,73.4,10.29,69,73.4
208,Osečina,0,RS,1586992316,44.37,19.6,32.59,1.12,79,39.0
209,Razdolinsk,52,RU,1586992316,58.42,94.67,38.19,2.01,72,38.19
210,Goderich,20,CA,1586992316,43.75,-81.72,32.83,7.05,58,34.0
211,Olafsvik,58,IS,1586992316,64.89,-23.71,35.6,8.68,81,35.6
212,Codrington,29,AU,1586992355,-38.27,141.97,60.57,18.37,75,60.57
213,Acapulco de Juárez,75,MX,1586992087,16.86,-99.89,82.4,8.05,74,82.4
214,Pushkinskiye Gory,72,RU,1586992355,57.02,28.91,30.49,5.75,96,30.49
215,Mindelo,40,CV,1586992355,16.89,-24.98,71.6,19.46,60,71.6
216,Boa Vista,40,BR,1586992519,2.82,-60.67,87.8,6.93,45,87.8
217,Skibbereen,20,IE,1586991940,51.55,-9.27,44.6,9.17,65,44.6
218,Leer,4,SS,1586992519,8.3,30.14,81.7,3.0,15,81.7
219,Malbork,18,PL,1586992519,54.04,19.03,43.27,20.8,70,45.0
220,Lilburn,1,US,1586992486,33.89,-84.14,58.91,14.99,24,63.0
221,Manicoré,42,BR,1586992519,-5.81,-61.3,82.4,3.36,78,82.4
222,Salym,83,RU,1586992520,60.06,71.48,32.13,5.66,95,32.13
223,San Patricio,5,MX,1586992395,19.22,-104.7,80.6,11.41,78,80.6
224,Kaeo,14,NZ,1586992520,-35.1,173.78,68.0,8.99,67,68.0
225,Port Hedland,98,AU,1586992520,-20.32,118.57,77.0,5.82,94,77.0
226,Port Hardy,20,CA,1586992515,50.7,-127.42,55.4,5.82,71,55.4
227,Acajutla,20,SV,1586992472,13.59,-89.83,77.0,5.99,88,77.0
228,Yulara,59,AU,1586992687,-25.24,130.99,66.2,9.17,25,66.2
229,Jacareacanga,100,BR,1586992624,-6.22,-57.75,71.42,2.01,95,71.42
230,Deputatsky,100,RU,1586992688,69.3,139.9,-3.35,8.61,85,-3.35
231,Douentza,45,ML,1586992816,15.0,-2.95,75.87,9.22,51,75.87
232,Berlevåg,15,NO,1586992816,70.86,29.09,32.85,15.99,91,32.85
233,Berlevåg,15,NO,1586992823,70.86,29.09,32.85,15.99,91,32.85
234,Borgarnes,75,IS,1586992804,64.54,-21.92,35.37,9.17,64,39.2
235,Saint George,1,US,1586992890,37.1,-113.58,67.46,17.22,13,71.6
236,Andenes,100,NO,1586992891,69.31,16.12,27.7,11.41,92,28.4
237,Cherskiy,89,RU,1586992828,68.75,161.3,7.99,4.23,92,7.99
238,Quesnel,40,CA,1586992864,53.0,-122.5,55.4,9.17,28,55.4
239,Zhumadian,64,CN,1586993065,32.98,114.03,66.88,6.15,67,66.88
240,Bara,0,NG,1586993066,10.37,10.73,84.87,5.66,12,84.87
241,Zhangjiakou,6,CN,1586993066,40.81,114.88,46.49,12.97,38,46.49
242,Tuatapere,54,NZ,1586993066,-46.13,167.68,52.0,15.01,72,52.0
243,Lata,20,PT,1586993066,40.16,-8.33,54.19,9.17,82,57.2
244,Souillac,40,MU,1586992828,-20.52,57.52,77.0,16.11,83,77.0
245,Mangan,93,IN,1586993066,27.52,88.53,65.34,3.62,33,65.34
246,Lakatoro,90,VU,1586993066,-16.1,167.42,78.8,3.36,88,78.8
247,Hualmay,7,PE,1586993066,-11.1,-77.61,73.04,6.31,73,73.04
248,Inndyr,75,NO,1586992925,67.03,14.03,34.66,13.87,74,36.0
249,Chimoio,75,MZ,1586993162,-19.12,33.48,68.0,0.49,100,68.0
250,Pevek,100,RU,1586993117,69.7,170.31,10.85,2.39,93,10.85
251,Chatham,12,GB,1586992947,51.38,0.53,44.01,2.24,93,51.01
252,Progreso,75,MX,1586993163,21.28,-89.67,89.19,11.41,49,91.4
253,College,75,US,1586993163,64.86,-147.8,51.98,3.36,45,55.4
254,Bokoro,0,TD,1586993163,12.38,17.06,80.33,11.03,13,80.33
255,Gravelbourg,100,CA,1586993163,49.88,-106.55,33.46,13.78,57,33.46
